Name,Type,State,"Profit /
Net Outstanding",Disbursed,Returned,"Dividends +
Interest",Warrants,Other Proceeds
"BlackRidge Financial, Inc.",Bank (Private),ND,"$1,127,326","$5,000,000","$5,000,000","$877,326","$250,000",$0
"Blackrock PPIF, L.P.",Investment Fund,DE,"$436,178,172","$1,581,184,800","$1,581,184,799","$69,813,349",$0,"$366,364,824"
Blue Ridge Bancshares,Bank (Private),MO,"-$564,957","$12,000,000","$8,969,400","$1,923,850","$541,793",$0
Blue River Bancshares,Bank (Private),IN,"-$4,470,895","$5,000,000",$0,"$529,105",$0,$0
Blue Valley Ban Corp,Bank (Public),KS,"-$272,469","$21,750,000","$21,263,017","$211,458","$3,056",$0
"BMO Harris Bank, N.A.",Mortgage Servicer,IL,"-$37,723","$37,723",$0,$0,$0,$0
BNB Financial Services Corp,Bank (Private),NY,"$2,276,052","$7,500,000","$7,500,000","$1,901,052","$375,000",$0
BNCCORP,Bank (Private),ND,"$7,050,012","$20,093,000","$20,093,000","$6,032,118","$996,193","$21,700"
BNC Financial Group,Bank (Private),CT,"$876,922","$4,797,000","$4,797,000","$636,922","$240,000",$0
BOH Holdings,Bank (Private),TX,"$1,783,777","$10,000,000","$10,000,000","$1,283,777","$500,000",$0
Border Federal Credit Union,Bank (Community Development),TX,"$263,698","$3,260,000","$3,260,000","$263,698",$0,$0
"Boscobel Bancorp, Inc",Bank (Private),WI,"$1,423,244","$5,586,000","$5,586,000","$468,624","$361,890","$592,730"
Boston Private Financial Holdings,Bank (Public),MA,"$17,224,745","$154,000,000","$154,000,000","$11,022,222","$6,202,523",$0
Branch Banking and Trust,Mortgage Servicer,NC,"-$15,110","$15,110",$0,$0,$0,$0
Brewery Credit Union,Bank (Community Development),WI,"$41,465","$1,096,000","$1,096,000","$41,465",$0,$0
Bridge Capital Holdings,Bank (Public),CA,"$4,008,582","$23,864,000","$23,864,000","$2,613,582","$1,395,000",$0
Bridgelock Capital dba Peak Loan Servicing,Mortgage Servicer,CA,"-$7,532","$7,532",$0,$0,$0,$0
Bridgeview Bancorp,Bank (Private),IL,"-$24,440,526","$38,000,000","$10,450,000","$2,393,155","$716,319",$0
Broadway Financial Corporation,Bank (Public),CA,"$1,379,122","$15,000,000","$14,519,170","$810,416","$1,049,535",$0
"Brogan Bankshares, Inc.",Bank (Private),WI,"$622,880","$2,400,000","$2,400,000","$402,720","$125,136","$95,024"
Brooklyn Cooperative Federal Credit Union,Bank (Community Development),NY,"$17,450","$300,000","$280,000","$37,450",$0,$0
"Brotherhood Bancshares, Inc.",Bank (Private),KS,"$1,845,585","$11,000,000","$11,000,000","$1,295,585","$550,000",$0
Buffalo Cooperative Federal Credit Union,Bank (Community Development),NY,"$45,533","$145,000","$145,000","$45,533",$0,$0
Business Bancshares,Bank (Private),MO,"$3,707,709","$15,000,000","$15,000,000","$2,957,709","$750,000",$0
Butler Point,Bank (Private),IL,"$117,125","$607,000","$607,000","$87,125","$30,000",$0
Butte Federal Credit Union,Bank (Community Development),CA,"$85,388","$1,000,000","$1,000,000","$85,388",$0,$0
Cache Valley Banking Company,Bank (Private),UT,"$1,267,335","$9,407,000","$9,407,000","$1,029,335","$238,000",$0
Cadence Financial Corp,Bank (Public),MS,"-$2,015,937","$44,000,000","$38,000,000","$3,984,063",$0,$0
CalHFA Mortgage Assistance Corporation,State Housing Orgs,CA,"-$2,360,253,221","$2,360,253,221",$0,$0,$0,$0
"Caliber Home Loans, Inc.",Mortgage Servicer,OK,"-$16,522,271","$16,522,271",$0,$0,$0,$0
California Bank of Commerce,Bank (Private),CA,"$755,900","$4,000,000","$4,000,000","$555,900","$200,000",$0
California Housing Finance Agency,Mortgage Servicer,CA,"-$45,826","$45,826",$0,$0,$0,$0
California Oaks State Bank,Bank (Private),CA,"$502,219","$3,300,000","$3,300,000","$337,219","$165,000",$0
Calvert Financial Corp,Bank (Private),MO,"$567,023","$1,037,000","$1,037,000","$515,023","$52,000",$0
CalWest Bancorp,Bank (Private),CA,"$629,163","$4,656,000","$4,656,000","$396,163","$233,000",$0
Capital Bancorp,Bank (Private),MD,"$752,281","$4,700,000","$4,700,000","$517,281","$235,000",$0
Capital Bank,Bank (Public),NC,"$3,973,104","$41,279,000","$41,279,000","$3,973,104",$0,$0
"Capital Commerce Bancorp, Inc.",Bank (Private),WI,"-$2,335,066","$5,100,000","$2,455,328","$309,606",$0,$0
"Capital International Financial, Inc.",Mortgage Servicer,FL,$0,$0,$0,$0,$0,$0
Capital One Financial Corp.,Bank (Public),VA,"$251,674,702","$3,555,199,000","$3,555,199,000","$105,174,637","$146,500,064",$0
Capital Pacific Bancorp,Bank (Private),OR,"$804,256","$4,000,000","$3,762,586","$845,368","$196,302",$0
"Cardinal Bancorp II, Inc.",Bank (Private),MO,"$1,296,478","$6,251,000","$6,251,000","$983,478","$313,000",$0
Carolina Bank Holdings,Bank (Public),NC,"$3,941,789","$16,000,000","$14,811,984","$3,329,805","$1,800,000",$0
Carolina Trust Bank,Bank (Public),NC,"-$5,548","$4,000,000","$3,362,000","$613,320","$19,132",$0
"Carrington Mortgage Services, LLC",Mortgage Servicer,CA,"-$230,633,032","$230,633,032",$0,$0,$0,$0
Carrollton Bancorp,Bank (Public),MD,"$2,187,959","$9,201,000","$9,201,000","$1,974,365","$213,594",$0
Carter Federal Credit Union,Bank (Community Development),LA,"$690,172","$6,300,000","$6,300,000","$690,172",$0,$0
Carver Bancorp,Bank (Community Development),NY,"$1,978,088","$18,980,000","$18,980,000","$1,978,088",$0,$0
Cascade Financial Corp,Bank (Public),WA,"-$21,291,100","$38,970,000","$16,250,000","$1,428,900",$0,$0
Cathay General Bancorp,Bank (Public),CA,"$71,874,444","$258,000,000","$258,000,000","$58,766,666","$13,107,778",$0
Catskill Hudson Bancorp,Bank (Private),NY,"$948,073","$6,500,000","$6,500,000","$685,073","$263,000",$0
CBB Bancorp,Bank (Private),GA,"$585,145","$4,397,000","$4,066,752","$799,532","$115,861",$0
CB Holding Corp.,Bank (Private),IL,"-$3,842,421","$4,114,000",$0,"$271,579",$0,$0
CBS Banc-Corp,Bank (Private),AL,"$3,132,359","$24,300,000","$21,776,396","$4,548,138","$1,107,825",$0
Cecil Bancorp,Bank (Public),MD,"-$10,163,012","$11,560,000","$880,000","$516,988",$0,$0
CedarStone Bank,Bank (Private),TN,"$1,108,099","$3,564,000","$3,564,000","$930,099","$178,000",$0
Center Bancorp,Bank (Public),NJ,"$1,586,667","$10,000,000","$10,000,000","$1,341,667","$245,000",$0
CenterBank,Bank (Private),OH,"$94,348","$2,250,000","$1,831,250","$429,041","$84,057",$0
Center Financial Corp,Bank (Public),CA,"$10,889,583","$55,000,000","$55,000,000","$9,739,583","$1,150,000",$0
"CenterState Banks of Florida, Inc.",Bank (Public),FL,"$1,408,302","$27,875,000","$27,875,000","$1,196,302","$212,000",$0
Centra Financial Holdings,Bank (Private),WV,"$922,937","$15,000,000","$15,000,000","$172,937","$750,000",$0
Central Bancorp,Bank (Public),MA,"$3,886,111","$10,000,000","$10,000,000","$1,361,111","$2,525,000",$0
"Central Bancorp, Inc.",Bank (Private),TX,"$8,586,222","$22,500,000","$22,500,000","$7,461,222","$1,125,000",$0
Central Bancshares,Bank (Private),TX,"$1,059,177","$5,800,000","$5,800,000","$769,177","$290,000",$0
Central Community Corp,Bank (Private),TX,"$3,797,529","$22,000,000","$20,172,636","$4,566,167","$1,058,726",$0
Central Federal Corp,Bank (Public),OH,"-$3,612,882","$7,225,000","$3,000,000","$612,118",$0,$0
Central Jersey Bancorp,Bank (Public),NJ,"$1,390,020","$11,300,000","$11,300,000","$1,070,361","$319,659",$0
Central Pacific Bank,Mortgage Servicer,HI,"-$13,000","$13,000",$0,$0,$0,$0
Central Pacific Financial Corp,Bank (Public),HI,"-$59,963,109","$135,000,000","$71,922,503","$2,362,500","$751,888",$0
Central Valley Community Bancorp,Bank (Public),CA,"$1,077,516","$7,000,000","$7,000,000","$892,499","$185,017",$0
Central Virginia Bankshares,Bank (Public),VA,"-$7,584,344","$11,385,000","$3,350,000","$450,656",$0,$0
Centric Financial Corporation,Bank (Private),PA,"$683,821","$6,056,000","$6,056,000","$501,821","$182,000",$0
Centrix Bank & Trust,Bank (Private),NH,"$1,387,792","$7,500,000","$7,500,000","$1,012,792","$375,000",$0
Centrue Financial,Bank (Public),MO,"-$21,355,222","$32,668,000","$10,739,088","$571,690","$2,000",$0
Century Financial Services Corporation,Bank (Private),NM,"$3,186,960","$10,000,000","$9,751,500","$2,938,871","$496,589",$0
CFBanc Corporation,Bank (Community Development),DC,"$492,349","$5,781,000","$5,549,760","$723,589",$0,$0
C&F Financial Corp,Bank (Public),VA,"$5,205,958","$20,000,000","$20,000,000","$2,902,778","$2,303,180",$0
"Chambers Bancshares, Inc.",Bank (Private),AR,"$12,281,304","$19,817,000","$19,817,000","$11,290,304","$991,000",$0
Cheviot Savings Bank,Mortgage Servicer,OH,"-$9,075","$9,075",$0,$0,$0,$0
Chicago Shore Corporation,Bank (Private),IL,"$2,054,225","$7,000,000","$6,937,000","$1,766,525","$350,700",$0
Chrysler,Auto Company,MI,"-$1,212,849,005","$10,748,284,222","$7,256,590,642","$1,171,263,942",$0,"$1,107,580,633"
Chrysler Financial Services,Financial Services Company,MI,"$25,367,458","$1,500,000,000","$1,500,000,000","$7,405,894",$0,"$17,961,564"
Chrysler Receivables SPV LLC,Auto Company (Parts Supplier),DC,"$49,671,126","$123,076,735","$123,076,735","$49,671,126",$0,$0
"CIT Bank, N.A.",Mortgage Servicer,CA,"-$442,522,334","$442,522,334",$0,$0,$0,$0
CIT Group,Bank (Public),NY,"-$2,286,312,500","$2,330,000,000",$0,"$43,687,500",$0,$0
Citigroup,Bank (Public),NY,"$13,448,572,616","$45,000,000,000","$45,000,000,000","$3,144,012,823","$312,205,322","$9,992,354,471"
"CitiMortgage, Inc.",Mortgage Servicer,MO,"-$781,746,723","$781,746,723",$0,$0,$0,$0
Citizens 1st National Bank,Mortgage Servicer,IL,"-$141,806","$141,806",$0,$0,$0,$0
Citizens Bancorp,Bank (Private),CA,"-$10,176,429","$10,400,000",$0,"$223,571",$0,$0
Citizens Bancshares,Bank (Community Development),GA,"$2,000,222","$11,841,000","$11,689,049","$2,152,173",$0,$0
Citizens Bancshares Co.,Bank (Private),MO,"-$11,037,619","$24,990,000","$12,679,301","$628,033","$645,047",$0
"Citizens Bank, N.A.",Mortgage Servicer,VA,"-$29,394,844","$29,394,844",$0,$0,$0,$0
"Citizens Bank & Trust Company, Established 1945",Bank (Private),LA,"$3,330","$2,400,000","$1,560,312","$765,003","$78,015",$0
Citizens Commerce Bancshares,Bank (Private),KY,"-$1,319,742","$6,300,000","$4,800,000","$180,258",$0,$0
Citizens Community Bank,Bank (Private),VA,"$574,645","$3,000,000","$3,000,000","$424,645","$150,000",$0
Citizens First Corp,Bank (Public),KY,"$3,457,420","$8,779,000","$8,779,000","$1,751,617","$1,705,802",$0
Citizens & Northern Corporation,Bank (Public),PA,"$2,449,100","$26,440,000","$26,440,000","$2,049,100","$400,000",$0
Citizens Republic Bancorp,Bank (Public),MI,"$81,395,557","$300,000,000","$300,000,000","$69,245,437","$12,150,120",$0
Citizens South Banking Corp,Bank (Public),NC,"$3,072,379","$20,500,000","$20,500,000","$2,847,222","$225,157",$0
City National,Bank (Public),CA,"$41,916,666","$400,000,000","$400,000,000","$23,416,666","$18,500,000",$0
City National Bancshares Corporation,Bank (Community Development),NJ,"-$6,930,391","$9,439,000","$2,226,750","$281,859",$0,$0
Clover Community Bankshares,Bank (Private),SC,"$318,586","$3,000,000","$2,593,700","$610,864","$114,022",$0
Coastal Banking Company,Bank (Public),FL,"$1,117,898","$9,950,000","$9,408,213","$1,434,038","$225,647",$0
"CoastalSouth Bancshares, Inc.",Bank (Private),SC,"-$1,757,512","$16,015,000","$12,606,191","$1,235,449","$415,848",$0
CoBiz Financial,Bank (Public),CO,"$8,907,086","$64,450,000","$64,450,000","$8,763,409","$143,677",$0
Codorus Valley Bancorp,Bank (Public),PA,"$2,678,479","$16,500,000","$16,500,000","$2,151,875","$526,604",$0
ColoEast Bankshares,Bank (Private),CO,"$670,783","$10,000,000","$8,947,125","$1,229,277","$494,381",$0
Colonial American Bank,Bank (Private),PA,"$94,143","$574,000","$574,000","$65,143","$29,000",$0
Colony Bankcorp,Bank (Public),GA,"-$1,519,911","$28,000,000","$21,680,089","$3,990,000","$810,000",$0
Colorado Federal Savings Bank,Mortgage Servicer,CO,"-$69,026","$69,026",$0,$0,$0,$0
Columbia Bank,Mortgage Servicer,NJ,"-$141,339","$141,339",$0,$0,$0,$0
Columbia Banking System,Bank (Public),WA,"$9,923,419","$76,898,000","$76,898,000","$6,621,772","$3,301,647",$0
Columbine Capital Corp,Bank (Private),CO,"$429,480","$2,260,000","$2,260,000","$316,480","$113,000",$0
Comerica Incorporated,Bank (Public),TX,"$322,039,543","$2,250,000,000","$2,250,000,000","$140,937,500","$181,102,043",$0
Commerce National Bank,Bank (Public),CA,"$602,969","$5,000,000","$5,000,000","$36,111","$566,858",$0
"Commonwealth Bancshares, Inc.",Bank (Private),KY,"$1,175,016","$20,400,000","$15,147,000","$5,529,294","$898,722",$0
Commonwealth Business Bank,Bank (Private),CA,"$750,110","$7,701,000","$7,250,414","$838,268","$362,428",$0
Community 1st Bank,Bank (Private),CA,"$349,660","$2,550,000","$2,550,000","$221,660","$128,000",$0
"Community Bancshares, Inc.",Bank (Private),AZ,"$1,325,157","$3,872,000","$3,872,000","$1,209,157","$116,000",$0
Community Bancshares of Kansas,Bank (Private),KS,"$116,745","$500,000","$500,000","$91,745","$25,000",$0
"Community Bancshares Of Mississippi, Inc./Community Bank Of Mississippi",Bank (Private),MS,"$8,342,099","$54,600,000","$50,778,000","$9,564,099","$2,600,000",$0
"Community Bancshares Of Mississippi, Inc. (Community Holding Company Of Florida, Inc.)",Bank (Private),FL,"$170,301","$1,050,000","$977,750","$217,551","$25,000",$0
Community Bankers Trust Corp,Bank (Public),VA,"$5,455,879","$17,680,000","$17,680,000","$4,675,879","$780,000",$0
Community Bank of the Bay,Bank (Private),CA,"$706,391","$4,060,000","$4,060,000","$706,391",$0,$0
"Community Bank Shares of Indiana, Inc.",Bank (Private),IN,"$3,334,282","$19,468,000","$19,468,000","$2,233,412","$1,100,870",$0
Community Bank & Trust Company,Mortgage Servicer,PA,$0,$0,$0,$0,$0,$0
Community Business Bank,Bank (Private),CA,"$698,053","$3,976,000","$3,692,560","$814,458","$167,035",$0
Community Credit Union of Florida,Mortgage Servicer,FL,"-$12,631","$12,631",$0,$0,$0,$0
Community Financial Corp,Bank (Public),VA,"$3,464,224","$12,643,000","$12,643,000","$2,563,724","$900,500",$0
"Community Financial Shares, Inc.",Bank (Private),IL,"-$2,729,256","$6,970,000","$3,136,500","$947,194","$157,050",$0
Community First Bancshares,Bank (Private),TN,"$3,628,111","$20,000,000","$20,000,000","$2,628,111","$1,000,000",$0
"Community First Bancshares, Inc.",Bank (Private),AR,"$3,848,975","$12,725,000","$12,572,427","$3,365,414","$636,133",$0
Community First Guam Federal Credit Union,Bank (Community Development),GU,"$423,116","$2,650,000","$2,650,000","$423,116",$0,$0
Community First Inc,Bank (Private),TN,"-$10,082,487","$17,806,000","$5,350,703","$1,908,453","$464,357",$0
Community Investors Bancorp,Bank (Private),OH,"$515,616","$2,600,000","$2,445,000","$565,616","$105,000",$0
"Community Loan Servicing, LLC",Mortgage Servicer,FL,"-$375,517,123","$375,517,123",$0,$0,$0,$0
Community Partners Bancorp,Bank (Public),NJ,"$1,598,750","$9,000,000","$9,000,000","$1,138,750","$460,000",$0
Community Plus Federal Credit Union,Bank (Community Development),IL,"$21,025","$450,000","$415,000","$56,025",$0,$0
Community Pride Bank Corporation,Bank (Private),MN,"$627,765","$4,400,000","$4,400,000","$448,253","$179,512",$0
Community Trust Financial Corp,Bank (Private),LA,"$4,459,100","$24,000,000","$24,000,000","$3,259,100","$1,200,000",$0
Community West Bancshares,Bank (Public),CA,"-$1,258,860","$15,600,000","$11,181,456","$2,461,333","$698,351",$0
Congaree Bancshares,Bank (Private),SC,"$160,825","$3,285,000","$2,685,979","$653,482","$106,364",$0
Connecticut Bank and Trust Company,Bank (Public),CT,"$1,454,866","$5,448,000","$5,448,000","$662,083","$792,783",$0
Cooperative Center Federal Credit Union,Bank (Community Development),CA,"$337,034","$2,799,000","$2,240,000","$896,034",$0,$0
Corning Savings and Loan Association,Bank (Private),AR,"$21,705","$638,000","$523,680","$132,065","$3,960",$0
Country Bank Shares,Bank (Private),NE,"$1,256,210","$7,525,000","$6,838,126","$1,570,844","$372,240",$0
Covenant Financial Corporation,Bank (Private),MS,"$1,594,635","$5,000,000","$5,000,000","$1,344,635","$250,000",$0
Crazy Woman Creek Bancorp,Bank (Private),WY,"$1,125,739","$3,100,000","$3,100,000","$970,739","$155,000",$0
"Credit Union Mortgage Association, Inc.",Mortgage Servicer,VA,"-$5,000","$5,000",$0,$0,$0,$0
Crosstown Holding Company,Bank (Private),MN,"$2,848,330","$10,650,000","$10,356,564","$2,610,555","$531,211",$0
CSRA Bank Corp,Bank (Private),GA,"$347,755","$2,400,000","$2,400,000","$180,940","$166,815",$0
"CU Mortgage Services, Inc.",Mortgage Servicer,MN,$0,$0,$0,$0,$0,$0
