SAGDP9N Real GDP by state 1/
SAGDP9N Real GDP by state 1/
State or DC
GeoFips,GeoName,1997-1998,1998-1999,1999-2000,2000-2001,2001-2002,2002-2003,2003-2004,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021
20000,Kansas,3.5,2.6,2.7,0.3,1.6,1.7,1.0,3.8,5.2,5.2,1.8,3.8,1.1,2.8,1.6,0.1,2.6,2.4,3.3,1.2,2.1,0.7,0.9,2.5
21000,Kentucky,2.9,3.2,2.6,0.2,2.5,2.8,2.9,4.0,2.6,0.7,0.3,4.1,4.2,1.1,1.4,1.9,0.0,0.8,0.7,1.0,1.1,2.7,2.4,5.0
22000,Louisiana,3.4,2.1,2.9,1.4,2.1,4.1,4.9,6.5,0.9,6.2,0.8,1.8,4.4,4.8,0.2,2.9,3.0,1.0,2.0,2.2,1.7,0.1,7.9,1.3
23000,Maine,2.8,5.0,4.6,2.0,2.9,2.6,3.9,1.2,0.9,0.2,1.3,1.9,1.3,1.0,0.2,0.8,1.5,0.7,2.1,1.6,2.9,2.5,0.6,6.2
24000,Maryland,4.8,3.9,4.1,4.3,3.4,2.9,4.3,3.9,1.4,0.3,2.6,1.1,4.5,2.2,0.0,0.5,1.6,2.5,3.4,1.7,0.5,0.0,4.3,4.6
25000,Massachusetts,4.1,5.3,8.0,1.3,0.0,1.8,2.7,2.0,2.3,2.8,2.1,1.9,4.6,2.0,1.9,0.4,1.5,3.7,1.6,1.6,3.9,2.5,2.8,6.6
26000,Michigan,2.3,5.9,2.0,3.0,2.8,1.6,1.2,1.8,1.6,0.6,5.8,9.0,5.5,2.6,1.9,1.4,1.3,2.2,1.9,1.2,2.0,0.1,4.0,7.4
27000,Minnesota,5.3,3.8,6.8,0.1,2.4,4.2,4.3,3.3,0.1,0.7,0.7,3.8,3.5,2.3,1.5,2.4,2.8,1.5,1.6,1.1,2.9,1.1,3.5,5.4
28000,Mississippi,2.5,2.9,0.5,0.9,1.4,4.3,2.3,2.5,2.3,1.2,1.6,3.7,0.6,0.1,2.0,0.1,0.0,0.2,0.8,0.0,0.4,0.1,0.5,3.8
29000,Missouri,1.7,2.9,2.6,0.7,1.8,2.1,2.8,2.3,0.6,0.2,2.1,2.4,1.5,0.8,1.1,1.1,0.5,1.1,0.0,0.8,1.2,2.1,2.7,4.6
30000,Montana,4.5,0.4,2.6,0.9,3.1,4.0,5.1,5.2,3.2,4.8,0.1,2.4,3.2,2.7,1.1,1.5,2.0,3.6,2.1,3.5,1.3,0.6,0.3,4.8
31000,Nebraska,2.4,2.1,3.7,2.4,1.3,5.8,2.6,3.9,2.8,2.3,0.1,0.1,3.7,5.3,0.1,1.9,3.1,3.2,1.1,1.4,2.3,1.6,0.4,3.4
32000,Nevada,5.3,7.1,4.2,0.9,3.6,4.4,10.5,8.0,4.0,0.8,2.9,8.4,1.2,0.7,1.1,0.3,0.9,4.2,2.7,3.9,3.4,4.3,6.7,8.9
33000,New Hampshire,6.6,3.0,7.0,1.5,3.2,4.1,4.1,1.0,2.5,0.3,1.5,1.3,3.2,0.6,1.4,0.8,1.6,2.6,2.1,0.5,2.0,1.8,1.2,9.3
34000,New Jersey,1.8,3.3,5.3,1.1,1.7,2.1,0.7,1.9,1.7,0.8,2.6,5.2,1.4,1.2,1.9,1.3,0.3,1.5,1.0,0.5,2.3,1.7,4.3,5.9
35000,New Mexico,0.5,5.3,1.7,0.1,3.0,3.9,8.2,1.2,2.4,0.8,0.3,1.3,0.5,0.0,0.4,1.2,2.5,0.8,0.6,0.2,2.2,4.4,2.5,1.2
36000,New York,2.0,5.4,3.9,1.9,0.6,0.4,3.0,2.2,2.6,0.8,1.5,3.4,3.8,0.2,3.8,0.1,1.8,1.5,2.2,1.1,2.8,2.9,4.6,5.7
37000,North Carolina,3.5,5.7,3.3,0.8,1.5,2.5,4.1,5.1,6.2,1.1,2.6,4.1,1.4,1.2,0.4,1.6,2.3,2.8,1.7,2.5,1.3,2.2,1.2,7.0
38000,North Dakota,5.6,0.4,3.9,0.8,5.5,6.0,1.5,3.8,4.2,4.7,7.0,2.9,7.6,11.7,22.4,2.0,9.3,2.2,6.3,2.3,3.2,0.8,4.8,0.3
39000,Ohio,3.4,2.4,2.1,1.4,2.0,1.3,2.7,2.2,0.1,0.2,1.8,4.8,2.5,3.3,0.8,1.9,3.2,0.8,0.9,1.7,0.7,2.6,3.1,5.9
40000,Oklahoma,2.2,1.8,3.8,3.8,1.9,1.6,3.5,3.9,6.5,2.2,3.9,1.4,0.3,3.6,5.1,1.6,6.6,4.1,2.1,0.5,1.8,1.9,4.3,0.4
41000,Oregon,4.8,2.2,8.4,0.9,2.0,4.2,5.0,4.1,5.0,1.7,2.7,4.6,2.2,2.7,0.4,0.8,3.0,4.8,4.3,3.8,4.6,2.2,1.8,5.7
42000,Pennsylvania,2.6,3.0,2.6,1.6,1.4,2.4,2.8,1.8,0.4,3.4,2.0,3.1,2.9,1.5,1.7,1.2,2.1,1.9,0.9,0.9,1.3,1.6,4.8,4.4
44000,Rhode Island,4.4,2.9,4.7,1.3,3.2,2.9,4.0,1.7,3.0,2.7,1.7,1.1,2.7,0.1,0.6,0.6,0.7,1.0,0.2,0.4,0.3,1.6,3.5,6.0
45000,South Carolina,3.7,4.7,2.8,0.6,2.8,3.9,1.7,3.3,2.3,2.9,1.1,4.4,1.9,2.3,0.9,1.8,2.8,3.2,3.1,2.3,2.3,3.0,2.3,6.2
46000,South Dakota,6.0,3.9,7.0,0.2,11.3,0.6,3.9,4.6,1.4,3.9,3.5,2.3,1.0,6.6,2.0,0.6,1.6,1.8,0.9,0.7,1.1,0.8,1.6,4.5
47000,Tennessee,6.2,3.2,1.2,0.2,3.3,3.3,4.6,3.0,2.4,0.6,0.5,3.6,1.4,3.1,3.4,1.2,1.5,3.5,1.9,2.8,1.4,2.4,2.3,9.0
48000,Texas,6.3,3.9,3.6,2.5,2.3,0.7,5.6,2.9,7.6,4.7,0.3,0.4,2.6,3.3,5.0,4.5,3.0,5.0,0.9,2.4,4.1,3.0,1.8,3.9
49000,Utah,6.3,4.1,3.6,1.1,2.0,1.7,6.0,7.0,7.7,4.5,0.3,2.2,2.0,3.3,1.2,2.8,2.9,3.5,4.4,4.6,6.4,4.5,1.7,6.8
50000,Vermont,3.1,5.6,5.4,3.2,3.4,3.6,5.5,0.5,0.5,0.9,3.2,1.9,4.3,2.1,0.8,1.9,0.8,0.7,1.0,0.3,0.4,1.1,2.9,5.1
51000,Virginia,5.4,5.5,4.8,3.5,1.2,3.5,4.0,4.9,1.9,1.2,1.5,0.8,3.2,0.7,0.4,0.7,0.3,1.7,1.1,1.6,2.3,2.4,2.1,5.5
53000,Washington,6.2,7.2,0.7,2.4,1.3,1.6,2.3,6.4,3.8,5.6,2.2,2.9,2.9,1.8,3.3,2.6,3.3,4.1,3.7,5.2,6.9,3.5,1.1,6.7
54000,West Virginia,1.5,3.2,0.2,0.2,1.6,0.5,1.6,2.4,1.8,0.4,2.0,0.4,1.4,1.7,0.1,0.3,0.0,0.2,0.9,2.0,2.4,0.7,3.0,1.3
55000,Wisconsin,3.8,4.1,2.9,1.6,1.9,3.0,3.4,2.9,1.7,0.6,1.2,3.0,3.1,2.2,1.6,0.3,2.1,1.8,1.0,0.0,2.4,1.5,3.5,4.6
56000,Wyoming,2.3,4.2,3.1,6.2,2.2,3.0,3.3,5.6,12.9,7.5,5.5,3.1,3.6,0.7,2.3,0.0,1.8,2.2,5.5,1.7,1.5,1.0,5.7,0.4
91000,New England,3.9,4.3,7.1,1.3,0.5,2.0,4.1,1.9,2.7,2.3,0.8,2.7,2.8,0.4,1.4,0.3,1.0,3.0,1.2,1.3,2.5,2.0,3.4,6.3
92000,Mideast,2.5,4.4,3.8,2.0,0.7,1.5,2.8,2.2,1.7,1.3,0.6,0.3,3.1,0.6,2.4,0.5,1.6,1.7,1.7,0.9,2.1,2.1,4.4,5.2
93000,Great Lakes,3.5,3.9,2.9,1.0,1.8,2.1,2.6,1.9,0.9,0.7,2.1,5.0,3.3,2.2,1.5,1.1,2.4,1.1,0.8,1.0,2.1,1.1,4.0,6.1
94000,Plains,3.1,2.9,4.4,0.1,2.4,3.4,3.8,3.2,1.4,2.0,1.1,2.4,2.6,2.2,2.5,1.2,2.8,1.7,0.7,0.9,2.0,1.2,2.2,4.3
95000,Southeast,4.7,4.7,2.5,1.4,2.5,3.6,4.6,4.8,2.5,0.4,0.7,3.5,1.9,0.7,1.0,1.2,1.8,2.6,2.0,2.5,2.2,2.3,2.3,6.5
96000,Southwest,5.9,4.5,3.7,2.4,2.5,1.8,5.4,3.6,6.8,4.1,0.0,1.6,2.0,3.0,4.4,3.4,3.1,4.3,0.9,2.4,3.8,3.0,1.7,3.8
97000,Rocky Mountain,7.2,6.2,6.5,1.1,1.1,1.7,3.3,5.6,4.4,4.0,1.6,2.6,1.2,1.6,1.2,2.9,3.5,3.7,2.1,3.3,4.4,4.1,0.5,5.8
98000,Far West,6.0,6.6,6.4,0.4,1.9,3.6,3.7,4.6,4.0,2.4,1.0,3.3,2.0,1.5,2.3,2.6,3.2,4.4,3.1,4.4,4.4,3.1,2.2,7.4

Legend/Footnotes
"1/ Real GDP is in millions of chained 2012 dollars. Industry detail is based on the 2012 North American Industry Classification System (NAICS). Calculations are performed on unrounded data. Chained (2012) dollar series are calculated as the product of the chain-type quantity index and the 2012 current-dollar value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates are usually not additive. The difference between the United States and sum-of-states reflects federal military and civilian activity located overseas, as well as the differences in source data used to estimate GDP by industry and the expenditures measure of real GDP."
"  Last updated: September 30, 2022-- revised statistics 2017-2021."
