	a1_cantPayHou	a2_cantPayHou	a3_cantPayHou	a4_cantPayHou	a5_cantPayHou	a6_cantPayHou	a7_cantPayHou	a8_cantPayHou	a9_cantPayHou	a10_cantPayHou	a1_demandsInterfere	a2_demandsInterfere	a3_demandsInterfere	a4_demandsInterfere	a5_demandsInterfere	a6_demandsInterfere	a7_demandsInterfere	a8_demandsInterfere	a9_demandsInterfere	a10_demandsInterfere	a1_health	a2_health	a3_health	a4_health	a5_health	a6_health	a7_health	a8_health	a9_health	a10_health	a1_lifSts	a2_lifSts	a3_lifSts	a4_lifSts	a5_lifSts	a6_lifSts	a7_lifSts	a8_lifSts	a9_lifSts	a10_lifSts	a1_hap	a2_hap	a3_hap	a4_hap	a5_hap	a6_hap	a7_hap	a8_hap	a9_hap	a10_hap	a1_wrkSchSts	a2_wrkSchSts	a3_wrkSchSts	a4_wrkSchSts	a5_wrkSchSts	a6_wrkSchSts	a7_wrkSchSts	a8_wrkSchSts	a9_wrkSchSts	a10_wrkSchSts	a1_fewMorHrs	a2_fewMorHrs	a3_fewMorHrs	a4_fewMorHrs	a5_fewMorHrs	a6_fewMorHrs	a7_fewMorHrs	a8_fewMorHrs	a9_fewMorHrs	a10_fewMorHrs
Up to 8th grade or less	0.59309***	0.56666***	0.49743***	0.48991***	0.44587***	0.44652***	0.49522***	0.46275***	0.47012***	0.55983***	0.31027	0.46574*	0.07938	0.05829	-0.12025	-0.11888	-0.00771	-0.16866	-0.17603	-0.06639	-0.14580	-0.13072	-0.21086	-0.19640	-0.22912	-0.00000	-0.17341	-0.40991	-0.42171	-0.07300	-1.16173	-1.16948*	-1.18512*	-1.08729	-1.01991	-0.85114	-1.15475*	-1.27701	-1.31558	-0.85323	0.48808	0.26838	0.28561	0.41604	0.56331	0.78436	0.41858	0.77096	0.71023	0.99827	-1.19255	-1.25252*	-0.97942	-0.89722	-0.58906	-0.51452	-0.69543	-0.97874	-1.02538	0.08615	-0.42019	-0.50943*	-0.47843*	-0.47324	0.00000***	0.00000***	-0.00000***	-0.00000***	0.00000	-0.00000
Female	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
Male	0.01555	0.01967	-0.02476	-0.02513	-0.02648	-0.02667	0.02482	-0.02762	-0.02910	-0.07551***	0.15629***	0.14860***	-0.00959	-0.01312	-0.01335	-0.01859	0.04495	0.00147	-0.00651	0.05016	0.09363**	0.10312***	0.10350***	0.11003***	0.10759***	0.00000**	0.19988	0.11434**	0.11196**	0.18248***	-0.30601***	-0.29795***	-0.27629***	-0.26732**	-0.26402**	-0.34730***	-0.60015**	-0.33902***	-0.33984***	-0.34318**	0.12163	0.13768	0.15885	0.16386	0.16699	0.06457	-0.27338	0.11262	0.10660	0.11134	-0.09567	-0.07304	0.05272	0.05720	0.05920	0.01041	-0.51513*	0.08095	0.07185	0.09116	0.03012	0.03038	0.03000	0.02580	-0.00000	0.00000	-0.00000***	-0.00000***	0.00000	0.00000*
Other	-0.13282	-0.13197	-0.17161*	-0.17445*	-0.15274	-0.15800*	-0.01424	-0.20445**	-0.19748*	-0.18195	0.44026	0.44585	0.33192	0.31865	0.37705	0.38224	0.64583	0.19839	0.19323	0.52375	-0.29230	-0.28775	-0.31338	-0.28204	-0.26194	-0.00000	-0.48256	-0.46759**	-0.47867**	-0.46100**	0.19392	0.20906	0.15137	0.20125	0.15128	0.35931	-2.37769***	-0.48397	-0.51244	-0.48908	1.05524	1.04495	0.99848	1.11809	1.04446	1.26073	1.77315	0.55961	0.54536	0.95204	-1.01152	-1.05447	-1.14181	-1.07742	-1.14072	-1.09243	-2.26646**	-1.79275***	-1.72286***	-2.05842***	-0.05852	-0.05996	-0.05506	-0.06184	0.00000	0.00000	-0.00000**	-0.00000	0.00000	0.00000
Transgender	0.07284	0.07157	0.29166**	0.29468**	0.28280**	0.28621**		0.29944**	0.28625**	-0.03481	0.52725**	0.51887*	0.02621	0.04724	-0.01682	-0.01808		0.11867	0.13478	0.43775	-0.61243*	-0.62298*	-0.10883	-0.14841	-0.15217	-0.00000		-0.13269	-0.09989	0.02956	-2.08638***	-2.10503***	-0.85493	-0.96862	-0.96052	-0.77554		-1.08797	-1.16712	-1.18643	-1.67113**	-1.72072**	-0.04754	-0.19732	-0.17904	0.03813		-0.14278	-0.13563	-0.44122	-0.41621	-0.49469	0.15428	0.06688	0.22410	0.32717		-0.03654	-0.09418	-0.99781	-0.24218	-0.25148	-0.42918	-0.42115	0.00000	0.00000		-0.00000	0.00000*	0.00000*
other	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
asian,pacific	-0.09870	-0.10100	-0.11434*	-0.11459*	-0.12792*	-0.12453*	-0.26445**	-0.12489*	-0.12018*	-0.15161*	-0.02222	-0.03242	-0.05626	-0.04894	-0.07453	-0.05809	-0.07640	-0.12637	-0.11627	0.11132	0.10988	0.10584	0.07260	0.03755	0.03390	-0.00000***	0.21805	-0.09894	-0.09685	0.26073	0.23252	0.24215	0.24320	0.17997	0.22094	0.15214	1.41545**	0.10448	0.08577	0.49219	0.40521	0.41296	0.29556	0.20948	0.31083	0.25667	1.61797**	0.18058	0.16661	-0.11510	0.34965	0.33922	0.11890	0.07837	0.03163	0.01980	0.90549	-0.03680	-0.00117	-0.21685	0.29081***	0.29503***	0.29783***	0.31078***	0.00000***	0.00000***	-0.00000***	-0.00000***	-0.00000	-0.00000
black	0.01537	0.00823	-0.03162	-0.03077	-0.04717	-0.04534	-0.11174	-0.03116	-0.02982	-0.01983	-0.05157	-0.04875	-0.11662	-0.11490	-0.14781	-0.14795	-0.04702	-0.13203	-0.13079	-0.11350	0.41274***	0.40282***	0.27261**	0.27521**	0.25908**	-0.00000***	0.64089***	0.22030*	0.21830*	0.46139***	0.27791	0.25125	0.30698	0.29710	0.33117	0.13035	1.58375***	0.26475	0.27304	0.76796*	0.54572	0.52878	0.38019	0.36782	0.43361	0.17398	1.88019***	0.39832	0.41046	0.47996	0.40302	0.40038	0.28953	0.28010	0.29947	0.16116	1.41202**	0.24190	0.24855	0.24015	0.16713**	0.17435**	0.18606**	0.18261**	0.00000***	0.00000***	-0.00000***	-0.00000***	-0.00000**	-0.00000
latino	-0.07708	-0.07315	-0.08641	-0.08846	-0.09251	-0.09026	-0.22040**	-0.07386	-0.07211	-0.07378	-0.18495	-0.17839	-0.19149	-0.18831	-0.18404	-0.18523	-0.29638	-0.15362	-0.15455	-0.09592	0.28410**	0.28388**	0.19425	0.17983	0.17408	-0.00000***	0.52916**	0.14185	0.14093	0.24095	0.29437	0.28062	0.42418	0.37659	0.39034	0.26561	1.64766***	0.34420	0.36714	0.85510**	0.32671	0.32152	0.35274	0.28481	0.30894	0.15164	1.48752**	0.24964	0.28011	0.16213	0.30900	0.30413	0.28443	0.24665	0.20636	0.13481	1.29345**	0.15113	0.19934	-0.00002	0.20443**	0.21267**	0.21293**	0.21177**	0.00000***	0.00000***	-0.00000***	-0.00000***	-0.00000**	-0.00000
white	-0.10823**	-0.11200**	-0.10418*	-0.10338*	-0.10591*	-0.10219*	-0.15353	-0.08775	-0.08539	-0.10338	-0.11624	-0.11769	-0.11789	-0.11751	-0.11464	-0.10198	-0.14140	-0.09652	-0.09883	0.01023	0.24357**	0.24128**	0.18510	0.18199	0.17970	-0.00000***	0.48339**	0.15118	0.14768	0.32251**	0.24107	0.24642	0.35748	0.34122	0.35332	0.20218	1.18645***	0.30817	0.29471	0.72043*	0.21748	0.23241	0.21500	0.18782	0.20850	0.02122	1.18939**	0.21026	0.20210	0.16187	0.48556	0.49083	0.34343	0.33081	0.30593	0.21272	1.07576**	0.25375	0.26304	0.09928	0.12221	0.12799*	0.13320	0.13194	0.00000***	0.00000***	-0.00000***	-0.00000***	-0.00000***	-0.00000**
_inc==0-$9,999	-0.08096	-0.09766	-0.02539	-0.02780	-0.02780	-0.03640	0.11561	-0.01461	-0.00531		-0.60139***	-0.59634***	-0.42270**	-0.43287**	-0.42716**	-0.43429***	0.01923	-0.30392*	-0.29698*		-0.72194***	-0.82518***	-0.70130***	-0.69393***	-0.69560***	0.00000***	-0.43816*	-0.61078***	-0.61018***		-2.05221***	-2.21220***	-1.93744***	-1.92913***	-1.91779***	-1.40120***	-1.98241***	-1.71357***	-1.77792***		-2.24961***	-2.44484***	-2.21391***	-2.22221***	-2.22325***	-1.54972***	-2.12242***	-2.19027***	-2.26342***		-1.07717***	-1.37312***	-1.16511***	-1.16174***	-1.18839***	-0.87757***	-1.19214*	-0.90909**	-0.84375**		0.14144	0.15175	0.12887	0.12073	-0.00000***	-0.00000***	-0.00000	-0.00000***	-0.00000	
_inc==$10-19,999	-0.02656	-0.03584	0.03162	0.02854	0.02680	0.02345	0.15217	0.02766	0.03713		-0.64394***	-0.64387***	-0.46756***	-0.48021***	-0.47618***	-0.46753***	-0.29023	-0.38363**	-0.36677**		-0.65477***	-0.73396***	-0.66509***	-0.65655***	-0.65409***	0.00000***	-0.50580**	-0.56507***	-0.56037***		-1.82438***	-1.93998***	-1.53392***	-1.51316***	-1.48020***	-0.97854***	-1.27992**	-1.31500***	-1.35424***		-1.46782***	-1.62006***	-1.24254***	-1.23904***	-1.21655***	-0.57888*	-0.72552	-1.13864***	-1.18222***		-1.04928***	-1.29763***	-1.20012***	-1.18809***	-1.20087***	-0.90796***	-1.02694*	-0.90240***	-0.83282***		0.16549*	0.17943*	0.16250	0.15465	-0.00000***	-0.00000***	-0.00000*	-0.00000***	-0.00000*	
_inc==$20-29,999	-0.07397	-0.07675	-0.02464	-0.02780	-0.03294	-0.03768	-0.03607	-0.02282	-0.02391		-0.54885***	-0.49690***	-0.32626**	-0.33411**	-0.33941**	-0.33753**	-0.22993	-0.22372	-0.24322*		-0.70791***	-0.73865***	-0.68194***	-0.68319***	-0.69057***	0.00000***	-0.54314***	-0.60308***	-0.60875***		-1.95947***	-1.96862***	-1.84658***	-1.86045***	-1.84306***	-1.30835***	-1.91765***	-1.64773***	-1.69788***		-1.76991***	-1.79146***	-1.62532***	-1.66990***	-1.65250***	-0.97074***	-1.41484***	-1.52314***	-1.56976***		-1.11637***	-1.18761***	-1.23737***	-1.25169***	-1.26534***	-0.94330***	-1.19043**	-0.98511***	-0.99636***		0.15742*	0.17788*	0.16744*	0.16035	-0.00000***	-0.00000***	-0.00000	-0.00000***	-0.00000**	
_inc==$30-39,999	-0.05867	-0.05185	0.00004	0.00021	-0.00453	-0.00609	0.02871	0.00460	0.00211		-0.50120***	-0.45428***	-0.28229**	-0.29087**	-0.29354**	-0.27611**	-0.03638	-0.17344	-0.19457		-0.63814***	-0.64744***	-0.57911***	-0.58110***	-0.58906***	0.00000***	-0.57344***	-0.52113***	-0.52668***		-1.50957***	-1.48186***	-1.33626***	-1.34664***	-1.33194***	-0.91507***	-1.75075***	-1.13616***	-1.17537***		-1.62078***	-1.60436***	-1.43248***	-1.47500***	-1.45909***	-0.90836***	-1.40800**	-1.34046***	-1.37636***		-1.22895***	-1.22626***	-1.14306***	-1.15326***	-1.17496***	-0.89717***	-1.48128***	-1.03887***	-1.05365***		0.14720	0.16965*	0.18525*	0.18040*	-0.00000***	-0.00000***	-0.00000*	-0.00000***	-0.00000**	
_inc==$40-49,999	-0.17436***	-0.16618***	-0.11303**	-0.11404**	-0.11716**	-0.11736**	-0.02352	-0.10575*	-0.10671*		-0.51611***	-0.46192***	-0.30809**	-0.31080**	-0.31708**	-0.29290**	-0.13681	-0.18806	-0.20873		-0.54512***	-0.54780***	-0.48508***	-0.49745***	-0.49946***	0.00000***	-0.51432**	-0.44862***	-0.45581***		-1.25244***	-1.22133***	-1.06420***	-1.09933***	-1.08586***	-0.75212***	-1.27262**	-0.96510***	-1.00192***		-1.54187***	-1.51629***	-1.35787***	-1.41637***	-1.39828***	-0.94321***	-1.64568***	-1.31148***	-1.34966***		-0.80670***	-0.78546***	-0.72620***	-0.75003***	-0.77157***	-0.55152**	-0.71615	-0.72157***	-0.72704***		0.07167	0.09539	0.11761	0.11753	-0.00000***	-0.00000***	-0.00000	-0.00000***	-0.00000**	
_inc==$50-59,999	-0.13770**	-0.12873**	-0.08262	-0.08425	-0.08771	-0.08773	-0.08603	-0.07574	-0.07790		-0.46499***	-0.41337***	-0.26373*	-0.26992*	-0.27641*	-0.25337*	0.04149	-0.20711	-0.22882*		-0.50677***	-0.49287***	-0.47808***	-0.48636***	-0.49187***	0.00000***	-0.36439*	-0.44340***	-0.44928***		-1.26003***	-1.19101***	-1.01147***	-1.05207***	-1.04236***	-0.69311***	-1.18886**	-0.97622***	-1.02205***		-1.33804***	-1.27721***	-1.14019***	-1.20661***	-1.20243***	-0.73968**	-1.37536**	-1.11831***	-1.15210***		-0.84801***	-0.79185***	-0.68713**	-0.71642**	-0.71672**	-0.49755*	-0.45749	-0.67110**	-0.68579**		0.03796	0.06957	0.08414	0.07955	-0.00000***	-0.00000***	-0.00000	-0.00000***	-0.00000**	
_inc==$60-74,999	-0.17604***	-0.16472***	-0.12694**	-0.12742**	-0.12791**	-0.12497**	-0.14800	-0.11565**	-0.12047**		-0.32808**	-0.25618	-0.14404	-0.14549	-0.14429	-0.12540	-0.07011	-0.06308	-0.09302		-0.34589***	-0.33969***	-0.28400**	-0.29280**	-0.29484**	0.00000***	-0.24067	-0.26917**	-0.27538**		-1.16337***	-1.11810***	-0.98660***	-1.01757***	-1.01130***	-0.79202***	-0.71954	-0.95261***	-0.98698***		-1.41638***	-1.37916***	-1.20493***	-1.25433***	-1.25418***	-0.95549***	-0.75244	-1.22024***	-1.25010***		-0.80958***	-0.78310***	-0.74690***	-0.76874***	-0.78075***	-0.63283**	-0.23116	-0.80318***	-0.81831***		0.04611	0.07403	0.08026	0.07908	-0.00000***	-0.00000***	-0.00000*	-0.00000***	-0.00000*	
_inc==$75-99,999	-0.15022***	-0.13904***	-0.08536	-0.08639	-0.08358	-0.07995	-0.13863	-0.06802	-0.06990		-0.42126***	-0.36341**	-0.18736	-0.19166	-0.18328	-0.15518	-0.06277	-0.12133	-0.14302		-0.34396***	-0.33011***	-0.27969**	-0.27940**	-0.27869**	0.00000***	-0.28666	-0.22737*	-0.23524**		-0.71645***	-0.64096**	-0.53504**	-0.54043**	-0.54052**	-0.34304	-0.38754	-0.52720*	-0.56827**		-0.73903**	-0.66754**	-0.49334	-0.50917	-0.52490*	-0.28138	-0.33101	-0.48766	-0.52410*		-0.65435**	-0.59412**	-0.57972**	-0.58197**	-0.60252**	-0.46545*	-0.50915	-0.62125**	-0.63953**		-0.00306	0.02492	0.04689	0.04445	-0.00000***	-0.00000***	-0.00000	-0.00000***	-0.00000**	
_inc==$100-150,000	-0.13705**	-0.12772**	-0.10273*	-0.10578**	-0.10174*	-0.10058*	-0.12251	-0.08234	-0.08381		-0.19203	-0.11215	0.03619	0.02879	0.03782	0.04846	0.08189	0.04898	0.02564		-0.20829*	-0.19028	-0.16068	-0.15983	-0.15886	0.00000***	-0.13322	-0.12374	-0.13160		-0.61010**	-0.52093*	-0.49451*	-0.48120*	-0.48709*	-0.37384	-0.28786	-0.44495	-0.48513*		-0.76911**	-0.71862**	-0.64958*	-0.63167*	-0.65669*	-0.50254*	-0.79699	-0.63205*	-0.67235**		-0.58839**	-0.51283*	-0.47261	-0.45849	-0.47300	-0.40134	-0.17006	-0.47240	-0.48503		-0.03103	-0.00071	0.01422	0.01454	-0.00000***	-0.00000***	0.00000	-0.00000***	-0.00000*	
part time	-0.02851										0.10981										0.13462										0.62338**										0.47317*										0.02464										0.12533**									
full time	-0.04584										0.31693***										0.13765*										0.54738**										0.45358*										0.23834										0.12640**									
Q2.8		-0.00267***	-0.00255***	-0.00261***	-0.00252***	-0.00255***	0.00059	-0.00220**	-0.00255**	-0.00240*		0.00522**	0.00583**	0.00544**	0.00557**	0.00560**	0.00327	0.00504**	0.00307	0.00121		-0.00676***	-0.00724***	-0.00609***	-0.00579***	-0.00000***	-0.00006	-0.00591***	-0.00685***	-0.00145		-0.01523***	-0.01687***	-0.01423***	-0.01379***	-0.00927*	-0.00638	-0.01436***	-0.01397**	0.00130		-0.01656***	-0.01657***	-0.01328**	-0.01310**	-0.00716	0.00302	-0.01416**	-0.01475**	-0.00085		-0.01535***	-0.02049***	-0.01872***	-0.01837***	-0.01543***	-0.01739**	-0.02086***	-0.02407***	-0.00794		-0.00062	-0.00114	-0.00156	-0.00000	-0.00000	-0.00000	0.00000**	-0.00000***	-0.00000
